"twitch_channel_id","user_name","channel_created_at","channel_updated_at","game","followers","views","status","language","_id","__v"
19571641,"ninja","2011-01-16T04:31:20.024Z","2020-06-12T21:11:31.267Z","VALORANT",14684042,481699236,"Mixer.com/Ninja","en","5ee48396fbbacd303ce2bba9",0
60056333,"tfue","2014-04-02T03:57:20.238Z","2020-06-12T21:40:37.775Z","Call of Duty: Modern Warfare",8450396,219569787,"High Kill Solos","en","5ee48396fbbacd303ce2bbaa",0
37402112,"shroud","2012-11-03T15:50:32.878Z","2020-06-12T21:15:09.570Z","World of Warcraft",7050506,366492992,"mixer.com/shroud | Follow @shroud on socials ","en","5ee48396fbbacd303ce2bbab",0
110690086,"myth","2015-12-27T19:23:58.830Z","2020-06-13T06:25:46.896Z","Just Chatting",6573644,111145525,"REACT ANDY IS BACK ^_^ - !socials","en","5ee48396fbbacd303ce2bbac",0
26490481,"summit1g","2011-12-01T06:33:31.487Z","2020-06-12T21:58:57.969Z","Remnant: From the Ashes",5352719,379634831,"remnant w/ Josh  [ @summit1g ]","en","5ee48396fbbacd303ce2bbad",0
44445592,"pokimane","2013-06-07T14:25:22.266Z","2020-06-13T00:08:36.131Z","Just Chatting",4981456,113298205,"See you Saturday 11AM PST ^_^","en","5ee48396fbbacd303ce2bbae",0
36769016,"timthetatman","2012-10-08T18:13:50.602Z","2020-06-12T21:18:24.937Z","VALORANT",4911572,189690255,"Just a fat dude playing games - be sure to be subscribed to youtube.com/timthetatman with the bell on!","en-gb","5ee48396fbbacd303ce2bbaf",0
39276140,"rubius","2013-01-12T18:46:56.563Z","2020-06-12T23:43:06.011Z","Just Chatting",4897716,61940100,"he estado fuera, pero nos vemos el sabado :)","es","5ee48396fbbacd303ce2bbb0",0
36029255,"riotgames","2012-09-08T06:53:10.585Z","2020-06-13T02:22:30.430Z","League of Legends",4510253,1225215493,"Friday Night League: Cloud9 vs. FlyQuest","en","5ee48396fbbacd303ce2bbb1",0
17337557,"drdisrespect","2010-11-02T15:32:25.181Z","2020-06-12T21:11:12.323Z","Escape From Tarkov",4408373,180417096,"On another level | !charity !donate | @DrDisrespect","en","5ee48396fbbacd303ce2bbb2",0
39298218,"dakotaz","2013-01-13T07:03:10.869Z","2020-06-12T21:17:16.663Z","Fortnite",4397845,115962650,"SEASON 3 WAITING ROOM","en","5ee48396fbbacd303ce2bbb3",0
29829912,"drlupo","2012-04-16T15:13:08.677Z","2020-06-12T21:15:11.629Z","Escape From Tarkov",4003186,113933641,"my drops are on the 20th :)","en","5ee48396fbbacd303ce2bbb4",0
31239503,"esl_csgo","2012-06-11T13:36:21.618Z","2020-06-13T07:26:13.288Z","Counter-Strike: Global Offensive",3936642,488522713,"RERUN: 100 Thieves vs. Gen.G Esports [Mirage] Map 1 - ESL One: Road to Rio - Group A - NA","en","5ee48396fbbacd303ce2bbb5",0
127651530,"tsm_daequan","2016-06-24T23:45:32.837Z","2020-06-12T21:11:47.369Z","Bombergrounds: Battle Royale",3770651,50695359,"Hi","en","5ee48396fbbacd303ce2bbb6",0
15564828,"nickmercs","2010-09-13T05:01:35.371Z","2020-06-12T21:42:23.095Z","Call of Duty: Modern Warfare",3622459,104610462,"Hibernating | @NICKMERCS","en","5ee48396fbbacd303ce2bbb7",0
51496027,"loltyler1","2013-11-14T00:27:41.456Z","2020-06-12T21:40:45.740Z","League of Legends",3356278,163013421,"BONE CRUSHING REFORMATION UNDERWAYS ! JUST BE ARE HAPPY :D !!","en","5ee48396fbbacd303ce2bbb8",0
32140000,"sypherpk","2012-07-14T23:39:55.205Z","2020-06-12T21:41:32.841Z","Call of Duty: Modern Warfare",3314196,66003415,"Beaming | @SypherPK on all Socials | #PKHOOD ðŸ‘¹","en","5ee48396fbbacd303ce2bbb9",0
459331509,"auronplay","2019-09-03T14:02:49.015Z","2020-06-12T21:15:33.503Z","Grand Theft Auto V",3279321,27903328,"ðŸŸ§ GTA V ROLEPLAY #34 ðŸŸ§","es","5ee48396fbbacd303ce2bbba",0
55125740,"fortnite","2014-01-17T12:49:38.554Z","2020-06-12T21:17:42.691Z","Fortnite",3104729,82227949,"The FNCS Invitational: Grand Finals Day 2","en","5ee48396fbbacd303ce2bbbb",0
48878319,"thegrefg","2013-09-12T00:45:27.081Z","2020-06-13T05:10:11.338Z","Call of Duty: Modern Warfare",3079523,37106082,"ðŸŽ® UN DIRECTO DEMASIADO NOCTURNO PARA SER VERDAD ðŸŽ®","es","5ee48396fbbacd303ce2bbbc",0